Date,heureNombre,heureHHMMSS,taille,prix
20140303,0.4087615741,94837,124,1205.6040322581
20140303,0.4087962963,94840,145,1205.99
20140303,0.4088078704,94841,48,1205.38
20140303,0.4088541667,94845,10,1205.9899
20140303,0.4088657407,94846,1,1205.99
20140303,0.408900463,94849,43,1205.38
20140303,0.4089236111,94851,16,1205.17
20140303,0.4089467593,94853,2,1205.1701
20140303,0.4089583333,94854,10,1205.1701
20140303,0.4089930556,94857,25,1205.9899
20140303,0.4090277778,94900,120,1205.99
20140303,0.4090740741,94904,10,1205.99
20140303,0.4090972222,94906,1,1205.3
20140303,0.4091087963,94907,210,1205.5004285714
20140303,0.4091203704,94908,5,1205.17
20140303,0.4091898148,94914,150,1205.8896666667
20140303,0.409212963,94916,100,1205.99
20140303,0.4092476852,94919,5,1205.5101
20140303,0.4093171296,94925,3,1205.51
20140303,0.4093402778,94927,110,1205.74
20140303,0.409375,94930,10,1206.14
20140303,0.4093865741,94931,100,1205.74
20140303,0.4093981481,94932,1,1205.74
20140303,0.4094907407,94940,100,1206.5
20140303,0.4095023148,94941,1,1206.49
20140303,0.409525463,94943,32,1205.58
20140303,0.409537037,94944,2,1205.4001
20140303,0.4095833333,94948,3,1206.469
20140303,0.4095949074,94949,2,1206.01
20140303,0.4096180556,94951,10,1205.5001
20140303,0.4096412037,94953,100,1206.005
20140303,0.4096643519,94955,1,1206.55
20140303,0.4096759259,94956,710,1206.4950704225
20140303,0.4096875,94957,509,1206.5194499018
20140303,0.4097106481,94959,185,1206.6040594595
20140303,0.4097222222,95000,365,1206.5
20140303,0.4097337963,95001,200,1206.475
20140303,0.4097453704,95002,100,1205.99
20140303,0.4098032407,95007,5,1205.9704
20140303,0.409837963,95010,57,1205.9799877193
20140303,0.4098611111,95012,1,1205.98
20140303,0.4098726852,95013,20,1205.98
20140303,0.4098958333,95015,9,1205.5000888889
20140303,0.4099305556,95018,1,1205.5
20140303,0.4099421296,95019,503,1205.5028341948
20140303,0.4099652778,95021,10,1205.3
20140303,0.4099768519,95022,1052,1205.0059885932
20140303,0.4099884259,95023,105,1204.0257142857
20140303,0.41,95024,770,1205.2784415584
20140303,0.4100231481,95026,24,1204
20140303,0.4100925926,95032,564,1204.0514184397
20140303,0.4101041667,95033,10,1205.4455
20140303,0.4101388889,95036,5,1205.46
20140303,0.4101967593,95041,9,1205.4399888889
20140303,0.4102083333,95042,3,1205.44
20140303,0.4102546296,95046,4,1204.900025
20140303,0.4103009259,95050,10,1204.61
20140303,0.4103356481,95053,6,1205.43
20140303,0.4103472222,95054,14,1204.01
20140303,0.4103819444,95057,1,1204.011
20140303,0.4103935185,95058,100,1204.021
20140303,0.4104050926,95059,6,1204.2
20140303,0.4104166667,95100,10,1204.52
20140303,0.4104282407,95101,196,1204.0527581633
20140303,0.4104513889,95103,5,1204.11
20140303,0.410462963,95104,5,1204.52
20140303,0.4105208333,95109,3,1204.11
20140303,0.4105671296,95113,2,1204.011
